Ticker,Short Name,Market Cap,Ticker.1,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,Avg D Val Traded 5D:D-5,PORT US Sz Fact Exp:D-1,PORT US Prof Fact Exp:D-1,PORT US Vol Fact Exp:D-1,PORT US Trd Act Fact Exp:D-1,PORT US Lev Fact Exp:D-1,PORT US Mom Fact Exp:D-1,PORT US Val Fact Exp:D-1,PORT US Gr Fact Exp:D-1,PORT US Dvd Yld Fact Exp:D-1,PORT US Earn Var Fact Exp:D-1,P/S,BEst P/S BF12M,P/B,BEst P/B BF12M,P/E,BEst P/E BF12M,ROE LF,T12M R&D/Sls,GICS Sector,GICS Ind,GICS SubInd,GICS Sector.1,GICS Ind Name,GICS SubInd Name,ESG Disclosure Score (Latest Available) (BLOOMBERG L.P.),Beta:Y-1,Total Return:Y-1,Number of Employees:Y,Number of Employees:Y-5
None (1594 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL US Equity,APPLE INC,3419474476990.0,AAPL US,Technology,Tech Hardware & Semiconductors,Technology Hardware,10446473216.0,1.9013915061950684,2.813321828842163,0.3018335700035095,-0.6616625785827637,0.14634405076503754,-0.14403538405895233,-0.40779826045036316,-0.5229395627975464,-0.472368448972702,-0.22520510852336884,8.754859924316406,8.112159608746284,51.28556823730469,40.54453261708553,32.64830780029297,29.760764870383685,136.5204620361328,8.071053163533454,45.0,452020.0,45202030.0,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",57.31817626953125,0.9436525043091247,20.766883912177512,164000.0,137000.0
NVDA US Equity,NVIDIA CORP,3179781600000.0,NVDA US,Technology,Tech Hardware & Semiconductors,Semiconductors,33441296384.0,1.1662880182266235,2.8313281536102295,0.05957994610071182,1.7046306133270264,-0.9035159349441528,2.163512706756592,-0.5648283362388611,3.0000247955322266,-0.6911032795906067,3.000138998031616,28.187040328979492,15.941076856892764,48.28781509399414,17.356877782558687,51.10441970825195,29.12057946858474,127.21148681640625,10.298492968067167,45.0,453010.0,45301020.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,,2.2523271653745933,85.27601992025626,29600.0,13277.0
MSFT US Equity,MICROSOFT CORP,3046074220791.25,MSFT US,Technology,Software & Tech Services,Software,8399380992.0,1.8719687461853027,0.4671820402145386,-0.5728628039360046,-0.7983697056770325,-0.5903114676475525,-0.5618477463722229,-0.3317631781101227,0.4019722640514374,-0.2835142910480499,-0.05645664408802986,11.633584976196289,10.13655007931999,10.064557075500488,7.7427231993036045,32.87469482421875,28.451088948054128,34.29069900512695,11.905944186828215,45.0,451030.0,45103020.0,Information Technology,Software,Systems Software,62.61945343017578,1.106031399420246,-0.3045804081882375,228000.0,144000.0
AMZN US Equity,AMAZON.COM INC,2428469681010.8,AMZN US,Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,11452941312.0,2.0110270977020264,-0.7322177290916443,0.18325437605381012,-0.5474457144737244,-0.27057743072509766,0.25239065289497375,-0.25925305485725403,0.6815056800842285,-0.7094537615776062,0.40103328227996826,3.76393461227417,3.4216548782422667,8.488253593444824,6.497916946819491,40.737422943115234,31.60054886401758,24.289682388305664,13.879261833440706,25.0,255030.0,25503030.0,Consumer Discretionary,Broadline Retail,Broadline Retail,,1.3145149736224402,34.37518063496534,1556000.0,798000.0
GOOGL US Equity,ALPHABET INC-A,2269963199999.9995,GOOGL US,Communications,Media,Internet Media & Services,8528796160.0,1.7695287466049194,0.4162696599960327,0.2967488467693329,-0.4241463243961334,-1.0617364645004272,0.08795026689767838,-0.050405628979206085,0.46631869673728943,-0.4771268963813782,0.30193305015563965,6.520520210266113,6.808093411287363,6.961851596832275,5.684016354328569,23.389421463012695,20.16052970721494,32.90849304199219,14.092418104211784,50.0,502030.0,50203010.0,Communication Services,Interactive Media & Services,Interactive Media & Services,56.302181243896484,1.1365931503307585,27.809026212944655,183323.0,118899.0
GOOG US Equity,ALPHABET INC-C,2269963199999.9995,GOOG US,Communications,Media,Internet Media & Services,5428658176.0,1.7695287466049194,0.4162696599960327,0.2967488467693329,-0.4241463243961334,-1.0617364645004272,0.08795026689767838,-0.050405628979206085,0.46631869673728943,-0.4771268963813782,0.30193305015563965,6.520520210266113,6.808093411287363,6.961851596832275,5.739218938693469,23.389421463012695,20.35632670578552,32.90849304199219,14.092418104211784,50.0,502030.0,50203010.0,Communication Services,Interactive Media & Services,Interactive Media & Services,56.302181243896484,1.1360985940110944,28.04359142420383,183323.0,118899.0
META US Equity,META PLATFORMS-A,1810350218027.8003,META US,Communications,Media,Internet Media & Services,11653525504.0,1.3160860538482666,0.5241040587425232,0.24423761665821075,0.08581645041704178,-0.579010009765625,0.7153879404067993,-0.19027569890022278,0.33912694454193115,-0.5416796803474426,0.7373731136322021,11.00542163848877,9.46027901493548,9.913619995117188,7.465933069001319,29.598173141479492,26.99335931862889,37.140602111816406,26.669908814589665,50.0,502030.0,50203010.0,Communication Services,Interactive Media & Services,Interactive Media & Services,,1.212000757489023,52.737087855527065,74067.0,44942.0
TSLA US Equity,TESLA INC,1163156890919.9402,TSLA US,Consumer Discretionary,Consumer Discretionary Products,Automotive,26912061440.0,0.8730995655059814,-0.6742188334465027,0.09187813103199005,3.0002400875091553,-0.9483472108840942,1.3456313610076904,-0.838014543056488,2.082489252090454,-0.7094537615776062,0.8490429520606995,11.83611011505127,10.021166042106751,15.950102806091309,14.515529753554818,175.3007354736328,119.055832987943,10.46279239654541,4.647353874500972,25.0,251020.0,25102010.0,Consumer Discretionary,Automobiles,Automobile Manufacturers,54.76310348510742,2.0280952262038294,92.78174196995863,125665.0,48016.0
TSM US Equity,TAIWAN SEMIC-ADR,1069050995085.76,TSM US,Technology,Tech Hardware & Semiconductors,Semiconductors,2527925760.0,0.8561113476753235,0.2578526437282562,-0.8203767538070679,-1.1143962144851685,-0.6540677547454834,1.046726107597351,0.053020212799310684,0.7089223265647888,0.09050668776035309,0.003928558435291052,10.078592300415039,9.32015924083588,6.802840232849121,6.261844119347188,24.85638427734375,22.26204255225138,30.28781509399414,7.054622375767927,45.0,453010.0,45301020.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,,1.6273019341924682,67.23281542951965,76478.0,48752.0
